# orderID,productID,shippingID,billingID,orderDate,quantity
1,5,1,1,2019-11-13,34
1,4,1,1,2015-10-22,45
1,2,1,1,2019-4-24,4
2,14,1,1,2016-10-11,8
3,10,1,1,2018-12-20,27
3,11,1,1,2017-11-28,23
3,15,1,1,2019-5-4,20
4,4,1,1,2015-10-29,4
5,10,1,1,2018-1-6,47
6,3,1,1,2017-6-2,5
7,6,1,1,2015-1-13,43
8,15,2,2,2015-4-19,34
9,14,2,2,2018-12-25,12
10,15,2,2,2017-10-20,50
11,1,2,2,2019-5-2,32
11,11,2,2,2016-8-29,21
11,14,2,2,2016-10-20,35
11,10,2,2,2016-7-5,1
11,3,2,2,2019-7-12,36
12,3,3,3,2017-4-15,15
13,6,3,3,2019-3-30,12
14,15,4,4,2017-11-19,50
14,2,4,4,2016-2-20,47
15,13,6,6,2017-9-15,9
16,10,6,6,2015-2-14,30
16,9,6,6,2018-8-5,16
17,2,6,6,2017-4-1,26
17,7,6,6,2019-9-19,14
17,11,6,6,2017-1-9,36
18,7,6,6,2019-1-6,43
18,14,6,6,2018-4-13,13
18,2,6,6,2019-8-9,20
18,13,6,6,2016-9-2,2
18,15,6,6,2019-9-3,2
18,12,6,6,2016-8-21,11
18,9,6,6,2016-12-17,15
18,1,6,6,2018-4-25,46
18,16,6,6,2016-6-9,43
19,2,6,6,2018-10-5,11
20,1,6,6,2017-9-9,5
21,15,6,6,2019-7-19,35
22,14,6,6,2016-1-9,2
23,5,7,7,2016-12-25,9
24,13,7,7,2017-3-18,23
25,2,11,11,2019-5-14,12
26,15,11,11,2018-9-15,48
27,2,11,11,2016-5-11,14
28,13,11,11,2016-7-13,37
29,12,11,11,2016-12-28,38
30,12,12,12,2016-4-28,42
31,13,13,13,2016-6-16,43
32,13,14,14,2015-6-9,16
33,4,14,14,2018-6-16,29
34,13,15,15,2016-2-29,32
